País,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022, 2023(p),2024(p),Enero a Marzo 2025(p)
Italia,1028.2179999999998,460.17300000000006,2884.2970000000005,7119.086,8296.966,7391.08,8181.801,7576.423000000001,8360.85,6438.736630000001,7406.11862,16968.46725,12058.48197,9895.989469999999,12415.581769999997,13065.268170000001,9416.791119999998,9101.718159999999,11922.19401,10498.56517,32786.58274,77505.92691,49219.43348,29680.663370000002,30087.823819999998,16423.9235,12802.22634,15499.258900000003,7398.14467,10447.651319999999,7511.133519999999,7024.3992899999985,6351.072190000001,1552.2595400000005
Jamaica,,,,17.94,37.980000000000004,20.115000000000002,,,,21.249,,10.18925,1902.388,,3.9105,18.1,,,22.68,,,4636.08,144.2448,25.0,7.669,,,,50.0,82.974,220.0,6237.786,46.90384,41.638000000000005
Japón,677.161,2054.067,1121.053,1948.8939999999998,2352.077,2982.237,2592.217,7487.821000000001,2565.7729999999997,2600.88925,9273.83954,32536.173759999998,100470.70083,168783.22657,228203.95872000005,222652.58557999998,163492.43856,218670.96995,296948.95386999997,309341.27496000007,278881.77602,285717.30643999996,167096.23331,233227.69142999998,222179.68454000002,260921.26053000003,312591.39298000006,366447.20457,285919.7088700001,364396.36169000005,376594.80831,251511.62527999992,196772.43550999998,40559.54321
Jordania,,35.0,,,36.0,,,,,,,,101.25519,,,,38.82722,76.3207,38.20484999999999,262.07889,49.26788,0.036,43.43065,,,11.47367,,,24.968130000000002,,96.51971,,28.49277,
Kazajstán,,,,,,,,,,,,,,,,21.77,0.05788,0.01246,0.01133,,,,23.952,,16.0,,,20.8,517.494,2519.254,455.331,,103.968,
Kenia,,,,,,,,,,,,,,,,0.0485,0.092,0.098,,,,,,,,,,0.0645,0.2,,252.478,182.486,,
Kirguistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.75999999999999,,,
Kuwait,58.42,,,,,,,,,40.0,,,,15.798,,,,,,0.0025,,,,132.975,45.975,6.544,3.6,2255.1,1750.8639999999998,1654.7988,111.184,860.2339999999999,78.322,16.5
"Laos, Republica Popular Democrática De",,,,,,,,,,,0.09429,,,,,,,250.32,,,,0.49,,,21.482,,,,,,,,,
Letonia,,,,,,,,,,,192.0,96.0,32.0,64.768,63.968,32.0,64.06508,16.25,20.027,1.28,32.0,79.934,48.0,,32.0,0.0581,16.04538,47.935,8.48194,22.1,68.23344,200.791,324.56100000000004,31.988
Líbano,,,43.288,,0.48,106.0,0.036,17.142,,94.57499999999999,,57.58,34.77407,,31.936,52.812,,291.625,144.893,106.0029,61.702999999999996,72.867,146.89919999999998,59.30988000000001,119.77505,112.53125,53.861,57.172,102.4532,240.0,45.42950999999999,26.085,20.0,
Liberia,,,,,,,,,,,,,,,0.0335,,,,,,,,,,,,,,,,23.5,,23.5,
Libia,,,,,,,156.4,,,,,,,,19.343,19.095,,,,,15.967,,,,,,13.971,15.967,36.6082,,219.61863999999997,123.72991,235.0,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,106.19,,,,,,,,,
Lituania,,,53.581,,,,,,,16.0,,32.0,,16.0,64.0,32.0,127.968,116.0,930.1209,33.516999999999996,80.0,335.852,136.96672,124.994,180.036,164.2855,292.831,462.0730000000001,190.0,113.043,142.70399999999998,240.60500000000002,797.3507999999999,324.0
Luxemburgo,,,,,,,,,,,,,,,,,69.26096999999999,,112.82876999999999,,,,,,,3.1585,,0.3,0.308,,6.6897199999999994,,,
Macao,,,,,,,,,,,,,,,,19.45,,,,,,,3.3146,0.426,,3.4,0.55157,,,0.332,0.69565,0.44164,,0.00545
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,1858.2,,,,,
Malasia,1851.654,806.722,393.923,813.252,722.9689999999999,601.821,1003.893,919.711,2453.853,705.542,2696.8066099999996,4747.97791,5873.4624699999995,4296.78378,4469.61297,9635.312399999999,4846.8323199999995,3369.7671899999996,1185.46067,3623.2222500000003,3121.71803,46050.448860000004,40351.12338999999,81460.35528999999,13217.634599999998,10016.006000000001,13556.515,9172.843,6926.771860000001,13677.531920000001,4716.66421,6026.798480000001,9564.35748,863.7981600000002
Malta,,,,20.0,,0.1,,,,,,,,,,,13.9,15.41918,18.5,17.22715,,6.0,38.0,,,,7.04667,19.95576,18.07441,35.72802,18.12228,,9.90229,17.00775
Marruecos,18.0,,,,,,,10.8,,,,,17.28,,34.9,109.74669999999999,105.07000000000001,64.107,53.99214,52.047,47.7,209.73000000000002,158.25681999999998,133.48999999999998,63.72,63.18,94.74,33.576,57.66,75.196,33.480000000000004,68.88,71.53280000000001,
Martinica,,,,13.05,27.78,28.165,55.358,,,,,,,,,,,,,,,100.0,0.2,25.271,1.1,50.19,68.789,94.05113,24.1,64.8989,51.78296,25.0,143.81322,
Mauricio,,,,,,,,,,,,,,,,,,,,,,,,,,48.426429999999996,95.96000000000001,47.980000000000004,64.5,51.365,277.6378,184.1787,329.3802,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.77452,15.018540000000002,13.98902,
México,7688.303000000002,9553.423,15424.602000000003,726.188,4018.1349999999993,5196.5779999999995,4514.620000000001,3752.5190000000002,5154.923000000001,7135.491779999999,14630.38721,12857.533519999999,13728.36125,11926.39905,9937.31571,12561.03025,8004.634429999998,6702.312809999999,8109.463989999999,8773.305919999999,9553.9573,6444.485449999999,12253.62802,8646.81226,6746.750510000001,5262.04195,6278.804139999999,19745.736579999997,8904.074579999999,8560.1104,8704.220669999999,14599.10691,14061.73055,2696.1873499999997
"Midway, Islas",,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,
Moldavia,17.922,,,,,,,,,,,,,,,,,,18.1175,,,,,,,,,,,,,,,
Mónaco,,,,,,,,,,,,,,,83.69,39.055,81.69,20.5,,18.27,,,,,19.6554,0.7044400000000001,19.73614,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,15.1,21.0,,,,,20.1,,,,49.95,,,,,
Mozambique,,,,,,,,,,,,,,,,,,8.58,59.36450000000001,9.18,56.760000000000005,,,,,,,,252.0,308.0,,224.0,56.0,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,545.578,,,,,880.0,,,,
Nicaragua,,,,0.113,2.273,6.719,13.861999999999998,8.369,11.957,,,3.2802800000000003,10.505500000000001,66.40232999999999,24.12446,15.0002,38.5204,55.88193,67.31700000000001,221.49497000000002,1636.6798900000001,2563.0644099999995,182.64855,102.17268,443.57195,340.30079,640.9607299999999,706.15417,652.42893,490.17977,597.43048,350.14895,781.16309,183.69516
Níger,,,,,,,,,,,,,,,,,,15.435,,,,,,,,,,,,,,,,
Nigeria,0.09,,5.52,,16.424,,,,,,,,,,,,,40.11,83.6,,20.0,,,,,9.75111,168.00758,647.4,,758.241,57.045,19.378,,124.46000000000001
Noruega,0.2,0.928,0.572,0.362,0.10600000000000001,0.04,4.87,34.361,62.81,73.21600000000001,47.024,0.131,15.50565,80.50150000000001,166.81351,107.5213,82.55906999999998,193.32027000000002,79.77317,163.32492,105.22919,131.22553,68.78099999999999,85.53895,58.59772999999999,42.971149999999994,91.83674,178.23825999999997,77.05919999999999,49.925799999999995,32.0313,55.977,36.027,0.72
Nueva Caledonia,,0.07,,,,,,,,,,,,,,,,,,43.227000000000004,20.0,,,60.297,25.0,44.989999999999995,98.3,,,52.066,25.0,,25.649,
Papua Nueva  Guinea,,,,,,,,,,,,,,,,,,,17.027,11.793,,,,,,,,,,,,,,
Nueva Zelandia,15.799999999999999,,0.20700000000000002,0.473,214.31799999999998,502.349,162.52200000000002,88.86200000000001,55.754000000000005,71.483,147.5155,167.0,48.749570000000006,139.03603999999999,243.93410000000003,271.46727,1443.3233,1455.7225599999997,1900.8153899999995,2671.4205,2234.17879,1793.60184,2760.65175,4110.0361299999995,2961.3935999999994,5763.09092,5408.037760000001,6179.012409999999,5373.33177,4478.3352,2011.3663399999998,1804.8601800000001,1631.7123,206.825
Omán,33.04,,36.0,45.143,,,,,,,,,,,,,,,,,,,,48.8,,,,,,,41.879999999999995,386.0931,620.6398700000001,11.81732
Países Bajos,1483.4629999999997,2253.485,2143.888,1549.744,2330.2549999999997,2740.52,5156.311,3569.975,6068.439,17323.648520000002,13758.395329999998,35154.889689999996,43813.35595,45518.874710000004,52406.35768,79717.35602,100634.28175000001,118877.26400000002,83621.96128,42125.42096,19719.56931,202917.86404999997,56050.23535999999,40024.40869,30498.83251,32629.375689999993,74425.71536,69493.41341000001,64377.35867,57233.99613,57227.570439999996,62925.82469,37604.08424,6076.98628
Pakistán,19.0,,10.5,,,,0.643,,977.1,,45.57119999999999,,14.25,49.1896,59.373400000000004,10.5,38.0,,,,,,130.0,275.0,105.0,,,51.39,250.0,873.0,,,22.339,43.128
Panamá,10.525,32.78,251.55000000000004,23695.432,59234.369999999995,15.474,1428.2489999999998,300.29400000000004,194.167,46.341480000000004,106.82383,166.89607999999998,30237.044230000007,57.98298,46477.02795,62715.989349999996,17691.6901,91370.15462999999,20916.764170000002,16815.5359,18966.6068,14728.233250000001,42094.1482,5259.87542,6695.8463999999985,6211.70024,7628.151720000001,4910.27431,1847.5201399999999,5027.37042,5494.637570000001,7519.75243,16410.393480000002,10944.222440000001
Paraguay,50901.265,39552.09299999999,3045.6280000000006,5064.009,3604.288,1284.949,2983.0950000000003,5774.344999999999,4611.146,14045.988,8516.47419,14273.77493,46959.17946,42910.07022,79718.36512,89637.51454,74726.02849999999,32079.99745,18646.25674,28064.692720000003,36382.64184,41828.92498,76930.11497999998,79103.33884999999,203193.11539,304282.79225,181302.92185,211333.78263000003,105938.31346999998,138654.32254,139164.05289,86218.56649,134768.14235999997,27331.617699999973
Perú,155432.292,156488.405,238173.019,267287.5399999999,274660.818,319563.875,330699.038,155732.831,162988.359,170933.65628999998,177885.79281,228095.16471999997,398119.37896,338218.62046000006,519597.84135999996,501012.45066,432851.77616999997,527368.8362499999,570621.21139,444782.93331999995,812608.6416900001,1070487.8416900001,991615.5878399998,847955.9111899999,941557.0561600002,874841.29515,975372.7241300002,1159455.7515399999,1300324.30152,1400577.6828899998,1544117.72587,1072204.81052,1277773.6252899999,258509.33948000008
"Pitcairn, Isla",,,,,,,,,,,,,,,,,,,,,,,,23.64,,,,,,,,,,
Polinesia Francesa,8.4,,,,0.364,,,,,,,,,,,,,47.396,,,,,45.528999999999996,,,,22.412,,23.287,,,47.41,,
Polonia,176.0,17.47,,123.58,74.2,226.24,94.91999999999999,209.92,39.2,39.2,78.4905,,58.509,18.0,146.993,284.60699999999997,186.125,1359.2665,1470.5737899999997,1791.647,1703.486,2667.027,719.934,700.7662,830.6521,15797.596,14559.584,308.515,234.084,177.17653,25095.982150000003,4418.73045,727.1286,105.52726999999999
Portugal,296.315,109.41600000000003,39.52700000000001,123.643,97.95400000000001,53.99,110.56,339.89700000000005,210.73000000000002,338.362,381.363,216.609,337.35060000000004,501.87202,400.295,1763.5575,722.68569,863.95448,2359.79425,1779.9195999999997,534.62725,13348.637400000003,759.2875600000001,561.90558,437.04970000000003,661.4225700000001,399.51520000000005,200.61571000000004,209.491,632.22527,2009.97742,1131.74138,426.19095000000004,111.985
Puerto Rico,0.6120000000000001,21.0,,42.013,102.631,26.192,67.266,4.969,63.398999999999994,47.1445,41.96884,235.6307,311.63617999999997,390.43215,718.39875,565.2877500000001,338.89035,691.05368,637.3151799999999,117.52072000000001,9136.8255,7181.692349999999,8.305399999999999,7.66148,8.73994,0.6726000000000001,0.9531999999999999,0.062,33.334500000000006,28841.024439999997,3.7066399999999997,5738.594,87.2882,
Qatar,90.0,,,,,,,,0.549,,,,,67.226,11.175,3.992,,,,,,,,12.0,10.8768,,20.70246,58.22852,192.83,283.3,50.25,36.34186,46.239999999999995,
Reino Unido,167325.081,172164.05299999999,139096.31499999997,156074.593,139874.10700000002,144456.78499999997,128311.153,113773.92999999998,58292.612,16225.52771,22561.277449999998,19025.06103,22691.62168,26539.225690000003,31769.207260000003,26807.43297,21388.783480000006,17631.97155,21902.273010000004,57452.68639,19523.976530000004,26524.285340000002,60217.6925,17830.96733,13749.765589999999,5485.097879999998,6168.46386,5941.714279999999,6682.21477,6616.15153,29587.811779999993,7826.37367,9210.907469999998,782.7316099999999
Republica Centroafricana,,,,15.6,,,,,,,,,,,,,,,,24.5,,,,,,,,,,,,,,
Republica Checa,,3.147,4.288,10.987,47.009,212.64300000000003,180.75,454.65100000000007,0.107,32.0,16.0,32.532000000000004,24.993619999999996,49.12520000000001,32.19,32.501000000000005,32.220000000000006,77.256,32.43542,37.0001,0.0001,44.245999999999995,50.167,130.05035,22.2033,125.77807999999999,37.172059999999995,35.90354000000001,44.63004,11.52953,118.69354,16.416,143.03050000000002,0.227
Republica Dominicana,,36.0,0.196,181.814,1381.1080000000002,1671.6659999999995,1014.4520000000001,575.498,1263.5449999999998,1335.8210500000002,1486.592,1563.1259499999999,2098.0650700000006,2774.83062,4865.726430000001,5640.651330000001,4804.14182,6792.357330000001,7432.85387,2003.7052099999999,9528.486359999999,4759.8869399999985,362.409,387.38479000000007,1059.75335,966.6211099999999,1160.6956,821.3033300000001,1394.3047299999998,5299.5367400000005,8360.297639999999,8776.84184,4771.96728,1169.5555299999999
San Bartolome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,
Reunion,,,,,,,,4.455,,,,,,,,,,,,,,,,,,73.8,47.85128,45.760000000000005,23.36,93.76504,44.980000000000004,258.122,69.492,
Zimbabwe,,,,,,,,,,,,,,,,,136.05357,,,,,,,,,,0.39425,,,,,47.52962,,0.0569
Rumania,10.5,21.0,,,198.611,,,,,20.163,0.66,26.91226,34.9852,12.93605,24.0,308.02594,1112.27677,1817.3551599999998,773.63642,348.11091,779.0420899999999,7844.3886,361.56841000000003,424.57500000000005,20.0,40.0,62.0,67.0,84.0,0.0263,88901.55,25.0,0.05447,
Rusia Federación De,35.004,35.028,0.003,19.675,141.623,73.729,,,355.475,90.16,975.79667,623.66069,1093.621,1221.0249999999999,1173.86097,722.07496,742.24937,644.9556500000001,2124.9372200000003,1501.46818,1492.11334,861.438,1306.199,1557.5320000000002,1239.16922,937.94182,473.73806,1337.6559699999998,588.8565,3332.87176,2408.81383,335.42008,286.16573999999997,49.13917
"Salomón, Islas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,132.0
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.904,,,
Santa Elena,,,,,,,,,,,,,,,,,,78.9,,,,,,,,,,,,,,,,
Santa Lucia,,,,,,,,,,,,,3.84,,,33899.0,,,,,,,,,,,65851.982,56284.704,29148.772,,,,,
Senegal,,,,,,,,,,,,43.64,,,,,,39.795,120.0,15.0,,,,6100.0,10.0445,,,1024.8,,,,,,
Serbia,,,,,,,,,,,,,,,,,,70.0,64.0,16.0,32.0,,,16.0,36.0,,57.984,,,,,,,
Seychelles,,,178.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leona,,,,,,,,,,,,,,,,0.44575,,,,,,,,,,,,,,,,,,
Singapur,0.125,,4.45,,,0.039,21.5,3.372,,0.002,,280.396,13.394,30.04085,1.2964000000000002,0.44899999999999995,0.29400000000000004,105.41000000000001,91.732,22.74090000000001,19.01111,36666.077860000005,129652.61499999999,71794.51000000001,240091.464,605.01492,509.88522000000006,252.92336,251.44,31707.38,147.2245,138.815,231.62374,4.84306
Siria. Republica Árabe De,125.24000000000001,124.0,174.97,331.97,18.0,,,,,0.003,,,,70.956,,16.848,19.09,5664.6,28.090220000000002,57.981109999999994,7.06461,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,0.605,556.0,,,,0.05,21.75,86.955,65.39999999999999,,24.0,,,,,,,
Sudáfrica. Republica De,15.6,20.0,291.0,415.567,16.115,56.734,15.6,47.2,4.702,16.0,177.33044999999998,148.98336,142.214,95.968,248.624,417.244,263.37617,374.9925,1956.6370000000002,154.4871,307.8783,341.62374,641.3864500000001,606.89077,214.28079000000002,146.16038,431.29902000000004,593.15893,1105.84094,1421.3607999999997,1527.7256200000002,1484.61742,2178.35114,334.77200000000005
Sudan,,,,,,,,,,,,,9.228,,,1.089,,,0.172,,,,,0.01,,,,,,,,,,
Suecia,2.016,0.461,21.006,98.049,39.910000000000004,36.583,57.188,50.46,114.078,208.67199999999997,100.07904,156.93300000000002,1789.34445,531.50157,179.61298,484.77882,307.84758,132.36092,108.99519,208.48873,184.54908,158.29045,225.69657,193.32944999999998,58.26825,89.94737,118.05911999999998,84.18611000000001,44.302369999999996,165.55308,107.06683000000001,57.266969999999986,23.96838,12.409500000000001
Suiza,4316.490000000001,3195.5240000000003,29111.708999999995,105105.414,88247.88500000001,87128.144,105786.831,94647.37900000002,213966.703,228247.90600999998,234626.10467,170045.65034000002,32106.068450000002,34202.180440000004,53227.01313000001,20441.38173,15563.17099,7535.295839999999,11335.63574,34653.18088000001,25991.390939999997,29106.904609999998,27252.163270000005,23593.832090000004,2946.96924,31854.94085,7645.879290000001,23498.326760000004,10208.699380000002,4338.58454,469.14209999999986,257.94261,273.08175000000006,113.25556
Surinam,,,,,,,,,,,,,,24.968999999999998,22.199150000000003,,,,,51.924,,,,,,17.489,,,9.90143,16.761,72.864,47.80780000000001,6.926,
Swasilandia,,,,,,,,,,,,,,,15.968,2.2,7.3,29.9,43.25586,0.02718,,,,,,,,,,,,,,
Tailandia,199.361,9.713000000000001,236.07000000000002,18.779,42.32,1.6809999999999998,36.595,130.005,432.36999999999995,97.63104000000001,281.82612,943.9388,1106.1309600000002,751.61885,227.61824,695.54884,1072.1157500000002,43.850930000000005,493.39397,1045.11595,1178.06081,679.97332,508.56735,1306.34519,2177.77019,7544.545680000001,4811.46635,374.00074,690.62672,1059.3039099999999,911.6451900000001,1946.63814,2431.41245,1212.66669
"Tanzania, Republica Unida De",,,,,,,,,,,,,,,,,,0.0498,,,,,,,,,,,,,,25.0,,28.0
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
Territorio  Antártico Británico,,,,,,,310.884,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor Leste (Timor Del Este),,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,,,,
Togo,,,,,,,,,,,,,,,,,,,79.8,,,,,,,,,48.0,,364.5,375.072,,,
Trinidad Y Tobago,,,,,,,,,16.709,,,,,,3.72,3.72,,4.26,7.2,,,,,5.029,2.0,0.1392,,,,,,,,
Túnez,,,,,,,,,,,,,,,,,,,95.0,,9.979370000000001,50.0,15.967,,15.967,,,59.975,68.03325000000001,20.0,9.97875,8.204,10.359,
"Turcas Y Caicos, Islas",,,,,,,,,,,,,,,,,,,0.021,,,,,,,,,,,,,,,
Turquía,,,60.192,82.28999999999999,15.622,45.335,25.865000000000002,18.32,,2.664,,29.456200000000003,76.77459999999999,64.436,54.732,315.0324,787.52464,154.29850000000002,112.354,280.14046,803.88705,289.15200000000004,162.0685,130.8836,1495.4225800000002,171.91124999999997,58211.672810000004,242.74577999999997,40098.78226,39682.804249999994,55569.35118,47336.53253,31719.49087,2325.3947
Ucrania,,,,,,,,,,,,,11.956,,,34.1832,36.43242,3.825,80.84778,192.6475,320.0,551.145,428.0,552.0,1429.08511,614.08569,43.19113,213.99774,141.228,345.22078000000005,,15.968,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.002,
Uruguay,696.192,934.841,13746.300000000001,2337.701,24941.823999999997,4633.483,218057.25999999998,357352.895,312449.523,39331.700000000004,2276.94182,937.93973,1359.6442,1924.70404,1585.3982400000002,3758.16193,4092.66303,4087.9282499999995,6081.60631,6893.30847,5756.941610000001,8161.951779999999,8887.56413,7844.533340000001,8753.412670000002,14749.153839999999,16498.611239999995,42736.77402,12295.680879999998,15890.915889999998,29700.415230000002,26671.27203,12071.873969999999,1857.34853
Uzbekistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.75602,,,
Venezuela,1431.6430000000003,729.205,3164.727,19788.639,487.904,929.423,8315.171,30243.433999999994,154377.95700000002,319412.39422,675060.36747,705112.0918999999,869430.44191,743998.5771600001,820561.9231,748462.54416,408638.67226,637739.4124,648260.3747800001,563535.76365,374235.4593800001,235060.01332,178817.81738000002,47911.190180000005,11344.009230000001,523.00515,425.92228,18492.691109999996,7564.243920000001,21863.738260000002,1382.47828,3424.48405,4179.0852,2022.7904500000002
Viet-Nam,,,,,,,,,,,165.29399999999998,216.64700000000002,,52.056,106.46700000000001,161.89185,456.4,0.315,2715.3959999999997,1709.2011999999997,3864.29,5169.432999999999,3410.34215,32653.871,55113.47499999999,1301.6249000000003,15407.398290000001,3398.7485300000003,3329.2036200000002,2281.44424,17522.67189,15471.279489999999,4195.07604,1035.0602900000001
"Vírgenes, Islas  (Reino Unido)",,,,,,,,,,,,,,,,,376.5,675.6610000000001,994.1800000000001,861.0,105.0,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,12345.607,,
Republica Democrática Del Congo,,,,,,,,,,,,,,,,,,,,,0.037,,,0.003,,,,,,1027.45,84.0,790.16,1138.0,458.0
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,
Zona Franca De Bolivia,,199.33499999999998,4148.764,3915.507,6725.065999999999,9822.927,14483.917,12108.451,9024.271,6256.789,5377.76638,7417.885609999999,5237.22835,4597.78644,21239.714489999995,5938.15149,12313.006700000004,4279.30782,22734.8767,29051.93953,23493.442270000003,19546.19224,294.39311,282.11927,508.61525000000006,182.97560000000001,48.74435,51.37514,49.75358,10.138110000000001,,,,
No Declarado,3888.52,100.72999999999999,788.2929999999999,1481.1219999999998,1183.824,3907.4399999999996,3648.099,2091.7699999999995,1405.3469999999998,553.908,464.5927300000001,299.19764000000004,590.57649,920.3072500000001,4603.20768,3513.6822399999996,1337.45905,263.02796,317.47786999999994,720.1169199999999,243.19901999999996,169.26951,,,,,,,,,,,,
REEXPORTACIONES(1),3562.4420000000023,2891.354999999998,7949.235,5498.308000000002,3727.0440000000026,2093.1330000000003,5482.093000000001,12664.225999999999,9917.905999999999,18132.499489999995,6563.003180000002,11207.10847,13132.32325000001,10300.342519999998,12128.235879999991,12049.976200000003,15849.005550000009,9608.296729999998,10208.011449999996,5799.634069999997,17759.289039999996,14538.02824000002,10375.337140000003,16102.403479999997,10599.738979999998,10155.635350000002,9786.214629999995,12856.359469999994,9257.63722000001,13812.200009999999,6876.10224,8214.121340000002,10343.513580000004,854.7409100000002
EFECTOS PERSONALES,632.3089999999999,560.4269999999999,693.1370000000003,742.249,799.5689999999995,772.4370000000007,866.5880000000001,983.5579999999998,1847.1040000000012,1286.1166000000005,1046.3547500000004,1138.5864900000001,1074.2126999999998,1075.2857500000005,1028.32768,1115.792949999999,1526.098780000001,1405.4486199999997,1304.43451,761.3060100000001,797.7252600000003,565.5859600000002,578.8200100000003,739.2209199999998,565.3588900000003,821.0023699999996,875.5382000000001,1097.0661399999997,374.0994400000002,450.4638000000001,453.99006,436.5536499999997,451.48181,152.87159999999997
